Vehicle ID,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Violation Georeference,period
caf70859762b7871869e74637b48fcaf3293a0cd09f8d2d99220d55b1b7515af,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.783429,-73.97896,POINT (-73.97896 40.783429),before
bd1caf97ad7431796ce2fa614ce9d4d3cb2d43abaf7ca0fa55afb4cfc595bdb1,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782371,-73.976454,POINT (-73.976454 40.782371),before
558a24379f99aabc7f352a33747f69c37f1be9eb20d3d0874110a6660cd551ee,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782728,-73.973549,POINT (-73.973549 40.782728),before
a8f3d334589bfa4fc09ec60122a088d9f72c3e698eaac5a74bb360ead04b1922,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782696,-73.97725,POINT (-73.97725 40.782696),before
a7c7610e2ac323a2f6e917675c83aad4a9fc72398dd347062518816a0d889150,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782353,-73.976466,POINT (-73.976466 40.782353),before
6fb30d639bbe652bb1635d010bf7e3b0cce4d7f04232293e6ab34c4906dafe1c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.771883,-73.951637,POINT (-73.951637 40.771883),before
a9a1ab05bcf05ebb10165544868ab7c22c21df0b122c2b947414cfdcf76deeed,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.789489,-73.979413,POINT (-73.979413 40.789489),before
2671919ed9848c39b3bfd3ab4ac9c0c154234622c7cdbc570ebbc28381452bf0,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.771927,-73.951764,POINT (-73.951764 40.771927),before
1c44fc29a4843534fb95adc440548601492f45664b0da48cb86908104e02bf72,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.783533,-73.979262,POINT (-73.979262 40.783533),before
4f6777717bf93f0f0d728e5348f6ff246de7149f5b7973e81b7b8811566460c0,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782798,-73.973545,POINT (-73.973545 40.782798),before
9b23e4956d5f4eb8948ab3608dca90340f603e1f179039897c27fdc63765bc9a,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.77387,-73.956329,POINT (-73.956329 40.77387),before
bc5a2acb46677cf62617cabe1891170375d11f70d620d59682927b338f47ab23,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782367,-73.976464,POINT (-73.976464 40.782367),before
6350ef691a031dffcc546dec851172f70845d00c2b26a6c55c14aaee192af476,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782614,-73.973144,POINT (-73.973144 40.782614),before
409af9f78168ba1ffae8388b565247b2949370ebe3786333ec93ccc6786e3981,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.776438,-73.962298,POINT (-73.962298 40.776438),before
7b349faf3a8867d0172d506375af09f42bccb2d1bd4f0e64e2eea97100a5353c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.773857,-73.956248,POINT (-73.956248 40.773857),before
0ab889bfe0d657cebb7fdf762a268765db8f2f7f424c0db09047e87fa791210c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.78976,-73.980069,POINT (-73.980069 40.78976),before
545bbf613cb6365746ab444e0e361feb798ac8cd039a3be99c7eafe6963c223c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.789648,-73.979671,POINT (-73.979671 40.789648),before
0249258f592d71da1ae30e0874bd4abef9eec731f0a59a98cc6498e5ec544c4b,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.773815,-73.956071,POINT (-73.956071 40.773815),before
e6f82c0629422ec12d8a65f94469f137fe19aae09c9ddc11db0129beae56563e,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.785099,-73.980602,POINT (-73.980602 40.785099),before
12e3fb4f4d38322f36ba96492f8c407228706ab0ad41ea8e72fd19b14945597b,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782361,-73.976442,POINT (-73.976442 40.782361),before
d45823943b3cc78b85cd4dc03576995884f9235792ff1252c68b7973cf386867,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.776043,-73.961331,POINT (-73.961331 40.776043),before
6221bb7938f0bce7106d6615f323a22ca562ba708da4027896e32d5d486c10b1,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782073,-73.975703,POINT (-73.975703 40.782073),before
fc206fd4ab1d5ef5650814955592ee3263735a9c8eefecf5b8752e8edb5c2f85,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.78505,-73.980669,POINT (-73.980669 40.78505),before
1e747dd62eaa6e227b4048e9dddcf621be447f6f52cac9d8f9b13ebd1d88dae3,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782932,-73.973841,POINT (-73.973841 40.782932),before
c59999921da65b9dfb9a0750f60a7ca073d464bf9090c2827838c6af945f3a9c,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.789591,-73.97961,POINT (-73.97961 40.789591),before
a2061f81a2a1f02e9650ddea4173b1f9beab657cb0e2e47d00969991546236ee,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.789483,-73.97929,POINT (-73.97929 40.789483),before
5fa04d4bb592840221d58b163d33d508882ce866850f0cd090da88bd18128df4,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782747,-73.973414,POINT (-73.973414 40.782747),before
a3932fecf55184b6af5c3bf61d6ffdc1005d0240e78dcb134f09b78e6a309208,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.78214,-73.975884,POINT (-73.975884 40.78214),before
de9a37826678d8678d5fc2595041980fd95111ca9a86b11f88280e5b92fed7eb,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.772913,-73.953941,POINT (-73.953941 40.772913),before
d65c221af5ccc56511cf36015257d279c5d69fefcb505d79a61be8311209a2c1,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782187,-73.975976,POINT (-73.975976 40.782187),before
4d1642b13e71af3240733c441963af9e933065a648d813c987969d14ffb80d46,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.783861,-73.975777,POINT (-73.975777 40.783861),before
de9b546cbc84762069b694d18b3b340eac448b65d744ff1187aefe215a1a6522,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782953,-73.973866,POINT (-73.973866 40.782953),before
c42a9d8c5df3ce455d849f022157e17e73edb0ab865d213802727f42d3b07b91,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.782922,-73.977678,POINT (-73.977678 40.782922),before
ba28c446ef744c2fa8826d93c44ba1ffb1e3c665560845258c1fc90f28a739b5,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.782937,-73.977681,POINT (-73.977681 40.782937),before
1b527f5b985444026b0bbe3df4f9c59fb7366f214a0d9f6b84a247448110f391,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.776098,-73.961582,POINT (-73.961582 40.776098),before
22183314f0e3e1b328d1941cb49887a3cbfb12376f5b8912d9b8a3d8492793fe,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.789884,-73.980456,POINT (-73.980456 40.789884),before
b4bf4959a98e6a727298e6e084cbf61788bf7c4c1a9dae3e7f0089c9bf70fbc2,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.784606,-73.981859,POINT (-73.981859 40.784606),before
b4bf4959a98e6a727298e6e084cbf61788bf7c4c1a9dae3e7f0089c9bf70fbc2,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.784636,-73.981902,POINT (-73.981902 40.784636),before
3d6e55d4c21d0e57c1855832500dcf487783058b7fd5ccae5bafe063aa88d445,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.771642,-73.950813,POINT (-73.950813 40.771642),before
9bbc94e31b2b2c3bdabb9527179ec9de9ca7997bb1ae818b49646b3612be2991,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.78223,-73.97211,POINT (-73.97211 40.78223),before
a714e110fc5cae9f8ebc8f0bcc35ebad6b1c695ce381cf8c2825c0b1b1bb9b15,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.784694,-73.980941,POINT (-73.980941 40.784694),before
0f62b1e3b913aaeb14a7ef2a7ca82af6552abe11a0cd606b596c6ebb3e1ace2a,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.773605,-73.955622,POINT (-73.955622 40.773605),before
a2f37623cf331c5579d900bf3dd609dfa09eb17653348762a71ec8d6bd8186ba,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.770845,-73.949037,POINT (-73.949037 40.770845),before
cb1cce030090b11fb1ed3bb9b210173519e31052f1e39ec3c92a47f9b5d27a26,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.783622,-73.979411,POINT (-73.979411 40.783622),before
b38cc7345af3cb0578b2cf1fa675862f01341eff0cfe57c581af2220fbe08600,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.742611,-73.977579,POINT (-73.977579 40.742611),before
bbe8589cf47fc7bcf95e3f2785f317c685b4d048c103e75c52b2c9bd7ce8d56f,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.78292,-73.977693,POINT (-73.977693 40.78292),before
35d88b3f8ea2f0f098f7986c51538a291db7a5a4dc7e88b41f1731f6d1718470,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750849,-73.990224,POINT (-73.990224 40.750849),before
0964d26d7a8100667ce57ec1881f71a003dc18d50f14a06218aa1f359e139716,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.75104,-73.990777,POINT (-73.990777 40.75104),before
f2d6fda3eca43ebfe5021437a1b862b234a05c8ee877e6c68819bcac08b3ed09,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.741074,-73.978686,POINT (-73.978686 40.741074),before
